latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
34.059753,-118.2375,87.0,-25200,America/Los_Angeles,GMT-7

time,wind_gusts_10m_max (km/h),wind_speed_10m_max (km/h),temperature_2m_max (°C),relative_humidity_2m_min (%),precipitation_sum (mm)
2024-12-01,20.2,7.5,24.5,12,0.00
2024-12-02,12.2,3.8,22.6,19,0.00
2024-12-03,17.6,6.3,21.5,36,0.00
2024-12-04,14.8,4.0,19.7,52,0.00
2024-12-05,15.8,5.0,21.2,28,0.00
2024-12-06,16.9,5.0,25.0,14,0.00
2024-12-07,12.2,4.9,26.3,10,0.00
2024-12-08,19.4,8.0,21.2,27,0.00
2024-12-09,16.9,6.3,19.7,27,0.00
2024-12-10,16.2,6.6,20.2,6,0.00
2024-12-11,13.7,6.4,22.2,6,0.00
2024-12-12,19.4,6.5,15.6,15,0.40
2024-12-13,21.6,7.4,17.8,46,0.00
2024-12-14,22.7,9.9,19.4,38,0.00
2024-12-15,16.2,6.2,18.8,35,0.00
2024-12-16,20.9,7.5,22.0,17,0.00
2024-12-17,18.4,7.4,23.3,21,0.00
2024-12-18,16.2,5.3,26.0,13,0.00
2024-12-19,12.2,4.0,26.4,12,0.00
2024-12-20,17.6,7.8,21.6,35,0.00
2024-12-21,22.7,7.8,19.2,45,0.00
2024-12-22,16.2,6.8,20.3,31,0.00
2024-12-23,16.2,6.2,20.6,47,0.00
2024-12-24,38.5,17.9,17.4,47,0.10
2024-12-25,46.4,21.8,17.6,39,0.00
2024-12-26,24.8,8.6,18.3,40,0.00
2024-12-27,19.1,8.7,16.2,69,0.00
2024-12-28,16.2,6.4,17.5,58,0.00
2024-12-29,19.4,6.2,18.2,53,0.00
2024-12-30,19.1,6.4,19.2,46,0.00
2024-12-31,18.4,4.9,18.2,38,0.00
2025-01-01,15.8,3.9,20.1,26,0.00
2025-01-02,11.5,3.4,25.6,13,0.00
2025-01-03,26.6,9.3,19.3,43,0.00
2025-01-04,27.4,10.2,17.3,39,0.00
2025-01-05,18.0,5.2,24.1,11,0.00
2025-01-06,19.1,6.3,23.2,16,0.00
2025-01-07,65.9,29.3,22.2,14,0.00
2025-01-08,50.8,23.4,22.1,8,0.00
2025-01-09,29.9,12.9,23.0,7,0.00
2025-01-10,19.4,7.9,20.7,10,0.00
2025-01-11,27.0,10.9,20.7,14,0.00
2025-01-12,25.6,11.2,20.3,8,0.00
2025-01-13,22.7,8.0,19.5,9,0.00
2025-01-14,26.3,10.9,19.1,10,0.00
2025-01-15,16.6,5.9,21.2,10,0.00
2025-01-16,27.0,10.6,20.7,9,0.00
2025-01-17,20.2,7.7,16.5,45,0.00
2025-01-18,22.3,9.4,17.8,43,0.00
2025-01-19,23.0,8.6,16.7,55,0.00
2025-01-20,25.2,9.0,21.2,6,0.00
2025-01-21,21.6,7.7,19.7,5,0.00
2025-01-22,22.3,8.5,25.2,4,0.00
2025-01-23,23.4,9.5,24.8,3,0.00
2025-01-24,21.2,9.2,23.4,4,0.00
2025-01-25,39.6,16.5,16.5,22,2.00
2025-01-26,31.7,13.3,12.3,69,16.80
2025-01-27,27.4,11.7,13.4,60,0.10
2025-01-28,17.3,7.1,15.1,65,0.00
2025-01-29,20.2,8.8,15.2,61,0.00
2025-01-30,18.0,8.4,14.3,62,0.00
2025-01-31,20.2,8.4,16.6,57,0.00
2025-02-01,19.1,7.3,19.8,48,0.00
2025-02-02,15.8,6.5,23.3,44,0.00
2025-02-03,24.8,9.1,19.8,60,0.00
2025-02-04,26.3,10.9,17.9,54,0.30
2025-02-05,25.6,10.5,15.5,78,6.70
2025-02-06,30.6,14.0,17.6,68,7.70
2025-02-07,31.0,11.9,17.2,67,16.30
2025-02-08,16.6,5.3,16.7,62,0.00
2025-02-09,18.7,9.0,20.5,37,0.00
2025-02-10,25.2,9.4,16.3,53,0.10
2025-02-11,37.8,16.0,16.0,51,0.00
2025-02-12,31.7,14.3,12.2,78,2.90
2025-02-13,49.0,21.3,15.1,84,37.90
2025-02-14,33.5,14.0,16.8,63,4.10
2025-02-15,25.6,10.7,17.8,62,0.00
2025-02-16,10.8,4.3,20.9,45,0.00
2025-02-17,15.8,7.0,19.6,54,0.00
2025-02-18,18.0,7.5,17.8,61,0.00
2025-02-19,16.2,5.9,21.7,45,0.00
2025-02-20,19.8,6.8,21.9,43,0.00
2025-02-21,19.4,8.1,23.0,30,0.00
2025-02-22,13.0,4.7,24.3,24,0.00
2025-02-23,23.4,10.3,25.4,25,0.00
2025-02-24,24.1,8.5,24.2,35,0.00
2025-02-25,19.8,7.7,23.3,38,0.00
2025-02-26,16.2,5.7,26.2,30,0.00
2025-02-27,19.8,8.0,25.4,22,0.00
2025-02-28,34.6,13.7,23.6,30,0.00
