"country","life_exp"
"Monaco",89.8
"Singapore",86.7
"Macau",85.3
"Japan",85.2
"Canada",84.2
"San Marino",84.2
"Hong Kong",84
"Iceland",84
"Switzerland",83.9
"Andorra",83.8
"Guernsey",83.6
"Malta",83.6
"Australia",83.5
"Korea, South",83.4
"Luxembourg",83.4
"Israel",83.1
"Italy",83
"Jersey",83
"Liechtenstein",83
"Spain",83
"New Zealand",82.9
"Norway",82.9
"Sweden",82.9
"Austria",82.7
"Anguilla",82.6
"France",82.6
"Bermuda",82.5
"Cayman Islands",82.5
"Isle of Man",82.5
"Belgium",82.3
"Finland",82.2
"Slovenia",82.2
"United Kingdom",82.2
"Denmark",82.1
"Puerto Rico",82.1
"Ireland",82
"Germany",81.9
"Greece",81.9
"Netherlands",81.9
"Portugal",81.9
"Saint Pierre and Miquelon",81.8
"Faroe Islands",81.7
"Taiwan",81.6
"Turks and Caicos Islands",81.3
"Wallis and Futuna",81.1
"Saint Barthelemy",81
"Saint Martin",81
"Gibraltar",80.9
"Saint Helena, Ascension, and Tristan da Cunha",80.9
"United States",80.9
"Virgin Islands, U.S.",80.7
"Bahrain",80.4
"Chile",80.3
"Costa Rica",80.3
"Qatar",80.3
"Cyprus",80.2
"Cuba",80.1
"Virgin Islands, British",80.1
"Albania",79.9
"Curaçao",79.9
"United Arab Emirates",79.9
"Sint Maarten",79.7
"Kuwait",79.6
"Saint Lucia",79.4
"New Caledonia",79.3
"Lebanon",79.2
"Panama",79.2
"Barbados",79
"Brunei",78.9
"French Polynesia",78.9
"Uruguay",78.9
"Argentina",78.8
"Paraguay",78.8
"China",78.7
"Dominica",78.7
"Czech Republic",78.6
"Aruba",78.5
"Bosnia and Herzegovina",78.5
"Estonia",78.4
"Antigua and Barbuda",78.3
"Montenegro",78.2
"Thailand",78.2
"Guam",78
"Tonga",78
"Algeria",77.9
"Croatia",77.7
"Libya",77.7
"Cook Islands",77.6
"Saint Kitts and Nevis",77.6
"Maldives",77.4
"Oman",77.4
"North Macedonia",77.3
"Tunisia",77.3
"Saint Vincent and the Grenadines",77.2
"Saudi Arabia",77.2
"Slovakia",77.2
"Solomon Islands",77.2
"Northern Mariana Islands",77.1
"Romania",76.9
"Sri Lanka",76.8
"Armenia",76.7
"Bahamas, The",76.7
"Poland",76.7
"Turkey",76.7
"Malaysia",76.6
"Seychelles",76.6
"Jordan",76.5
"Trinidad and Tobago",76.5
"West Bank",76.5
"Latvia",76.4
"Brazil",76.3
"Grenada",76.3
"Jamaica",76.3
"Uzbekistan",76.2
"Bulgaria",76.1
"Lithuania",76.1
"Montserrat",76.1
"Vietnam",76.1
"Hungary",76
"Azerbaijan",75.9
"El Salvador",75.9
"American Samoa",75.8
"Samoa",75.7
"Vanuatu",75.7
"Iran",75.6
"Gaza Strip",75.5
"Mauritius",75.4
"Serbia",75.3
"Bangladesh",75.2
"Marshall Islands",75.2
"Palau",75.2
"Egypt",75
"Micronesia, Federated States of",75
"Colombia",74.9
"Ecuador",74.9
"Fiji",74.8
"Syria",74.8
"Belarus",74.7
"Nicaragua",74.7
"Mexico",74.6
"Greenland",74.5
"Venezuela",74.5
"Belize",74.3
"Cabo Verde",74.3
"Morocco",74.2
"Bhutan",73.7
"Iraq",73.7
"Indonesia",73.6
"Guatemala",73.5
"Korea, North",73.5
"Kazakhstan",73.3
"Honduras",73.1
"Kosovo",73.1
"Malawi",73
"Nepal",73
"Congo (Brazzaville)",72.9
"Kyrgyzstan",72.9
"Georgia",72.8
"Suriname",72.7
"Dominican Republic",72.6
"Bolivia",72.5
"Guyana",72.4
"Turkmenistan",72.4
"Russia",72.3
"Togo",72.1
"Mongolia",71.9
"South Africa",71.9
"Tajikistan",71.9
"Cambodia",71.4
"Philippines",70.8
"Tanzania",70.8
"Senegal",70.6
"Timor-Leste",70.5
"Ukraine",70.5
"Gabon",70.4
"Kenya",70.4
"Burma",70.3
"Pakistan",70.3
"Ghana",70.1
"Moldova",70.1
"Papua New Guinea",70.1
"Uganda",69.7
"Laos",69
"Tuvalu",69
"Peru",68.9
"Madagascar",68.8
"Nauru",68.6
"Kiribati",68.5
"Gambia, The",68.4
"India",68.2
"Yemen",68.2
"Burundi",68.1
"Comoros",67.8
"Sudan",67.8
"Ethiopia",67.7
"Sao Tome and Principe",67.7
"Eritrea",67.5
"Zimbabwe",67.2
"Zambia",66.9
"Rwanda",66.6
"Botswana",66.4
"Djibouti",65.9
"Mauritania",65.9
"Namibia",65.9
"Haiti",65.6
"Guinea",64.6
"Guinea-Bissau",64.5
"Burkina Faso",64.2
"Cameroon",64.2
"Equatorial Guinea",63.9
"Côte d’Ivoire",63.2
"Mali",63.2
"Benin",63
"Angola",62.9
"Congo (Kinshasa)",62.6
"Nigeria",62.2
"Liberia",61.6
"Niger",60.9
"Eswatini",60.7
"South Sudan",60.3
"Lesotho",60.2
"Chad",60
"Sierra Leone",59.4
"Mozambique",58.3
"Somalia",56.5
"Central African Republic",56.4
"Afghanistan",54.4
